attempts	success	fail(%)	size	pdfsize	sir1	sir5	ris1	ris3
1000	1000	0	1.93	-	6.60	18.10	18.40	33.80
1000	1000	0	2.93	-	16.70	44.70	30.80	47.40
1000	1000	0	3.93	-	27.80	64.00	41.30	54.70
1000	1000	0	4.92	-	38.10	72.00	47.80	59.10
1000	1000	0	5.92	-	43.60	77.60	52.10	62.90
1000	1000	0	6.92	-	45.30	79.10	53.60	64.40
1000	1000	0	7.92	-	51.60	82.00	56.50	65.40
1000	1000	0	8.93	-	50.00	82.00	55.30	63.20
1000	1000	0	9.92	-	55.50	84.50	59.10	66.70
1000	938	6.20	1.93	1.05	6.18	22.07	19.72	40.83
1000	940	6.00	2.92	1.12	17.55	51.91	31.91	53.40
1000	944	5.60	3.92	1.19	30.19	67.58	40.57	60.49
1000	959	4.10	4.92	1.26	39.73	76.96	48.38	64.86
1000	947	5.30	5.92	1.36	43.82	83.84	51.00	67.48
1000	940	6.00	6.92	1.41	48.72	86.28	56.70	72.02
1000	935	6.50	7.92	1.42	49.95	89.84	56.68	73.69
1000	943	5.70	8.92	1.42	51.22	90.03	56.10	71.26
1000	950	5.00	9.93	1.46	54.32	88.42	60.32	73.79
